Scope
Manufacturer	Model
Synapse Audio	com.synapseAudioSoftware.LegendHZ

Mapped	Remotable Name	Type	Page	Min	Max	Input type	Output type
[x]	ARP Slide	encoder	0	4194304	Value	ValueOutput

# Performance

[x]	Pitch Bend	fader	-8192	8191	Value	ValueOutput
[x]	Mod Wheel	fader	0	127	Value	ValueOutput
[x]	Sustain Pedal	button	0	127	Value	ValueOutput
[x]	Aftertouch	encoder	0	127	Value	ValueOutput
[x]	Expression	encoder	0	127	Value	ValueOutput
[x]	Breath Control	encoder	0	127	Value	ValueOutput

# Misc

[o]	Select Patch Delta	0	0	Delta	TextOutput
[o]	Select Previous Patch	0	0	Trig	TextOutput
[o]	Select Next Patch	0	0	Trig	TextOutput
